Albania,Australia,Austria,Azerbaijan,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Malta,Moldova,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom
Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,France,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
France,France,France,France,France,France,France,France,France,France,France,France,Switzerland,France,France,France,France,France,France,Iceland,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France
Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Iceland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Ukraine,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Iceland,Switzerland,Switzerland
Ukraine,Iceland,Iceland,Ukraine,Iceland,Ukraine,Iceland,Ukraine,Iceland,Iceland,Iceland,Iceland,Ukraine,Iceland,Iceland,Ukraine,Ukraine,Iceland,Iceland,Finland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Ukraine,Iceland,Ukraine,Iceland,Iceland,Iceland,Iceland,Ukraine,Iceland,Iceland
Finland,Ukraine,Ukraine,Finland,Ukraine,Finland,Ukraine,Finland,Ukraine,Ukraine,Ukraine,Ukraine,Finland,Ukraine,Ukraine,Finland,Finland,Ukraine,Ukraine,Malta,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Finland,Ukraine,Finland,Ukraine,Ukraine,Ukraine,Ukraine,Finland,Finland,Ukraine
Malta,Finland,Finland,Malta,Finland,Malta,Finland,Malta,Finland,Finland,Finland,Malta,Russia,Malta,Finland,Malta,Malta,Finland,Finland,Lithuania,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Malta,Finland,Malta,Finland,Finland,Finland,Finland,Malta,Malta,Finland
Greece,Malta,Malta,Russia,Malta,Russia,Malta,Lithuania,Malta,Malta,Malta,Lithuania,Greece,Lithuania,Malta,Russia,Lithuania,Malta,Malta,Russia,Malta,Malta,Lithuania,Malta,Malta,Malta,Malta,Malta,Malta,Lithuania,Malta,Lithuania,Russia,Malta,Malta,Malta,Lithuania,Lithuania,Malta
Bulgaria,Lithuania,Lithuania,Greece,Lithuania,Greece,Lithuania,Russia,Lithuania,Lithuania,Lithuania,Russia,Portugal,Russia,Lithuania,Bulgaria,Russia,Lithuania,Lithuania,Portugal,Lithuania,Russia,Greece,Lithuania,Lithuania,Russia,Lithuania,Lithuania,Russia,Bulgaria,Lithuania,Russia,Greece,Russia,Lithuania,Lithuania,Russia,Russia,Lithuania
Moldova,Russia,Bulgaria,Bulgaria,Russia,Portugal,Russia,Greece,Russia,Bulgaria,Russia,Greece,Moldova,Greece,Russia,Moldova,Greece,Bulgaria,Russia,Moldova,Russia,Bulgaria,Portugal,Russia,Russia,Sweden,Greece,Russia,Greece,Portugal,Greece,Greece,Bulgaria,Greece,Greece,Russia,Bulgaria,Portugal,Bulgaria
Sweden,Bulgaria,Portugal,Portugal,Bulgaria,Moldova,Portugal,Bulgaria,Greece,Sweden,Bulgaria,Bulgaria,Sweden,Bulgaria,Sweden,Cyprus,Bulgaria,Portugal,Bulgaria,Serbia,Bulgaria,Portugal,Sweden,Greece,Greece,Serbia,Bulgaria,Portugal,Bulgaria,Moldova,Bulgaria,Bulgaria,Portugal,Serbia,Bulgaria,Serbia,Portugal,Sweden,Portugal
Serbia,Serbia,Serbia,Moldova,Portugal,Sweden,Serbia,Portugal,Bulgaria,Israel,Portugal,Moldova,Serbia,Portugal,Serbia,Belgium,Portugal,Sweden,Cyprus,Israel,Sweden,Sweden,Serbia,Bulgaria,Portugal,Cyprus,Sweden,Sweden,Moldova,Israel,Moldova,Moldova,Sweden,Israel,Portugal,Israel,Sweden,Israel,Israel
Cyprus,Cyprus,Norway,Sweden,Sweden,Serbia,Israel,Israel,Portugal,Norway,Sweden,Sweden,Cyprus,Moldova,Cyprus,Azerbaijan,Sweden,Norway,Belgium,Norway,Norway,Israel,Cyprus,Portugal,Israel,Israel,Israel,Israel,Sweden,Azerbaijan,Cyprus,Cyprus,Cyprus,Norway,Cyprus,Norway,Serbia,Norway,Norway
Azerbaijan,Norway,Netherlands,Israel,Norway,Israel,Azerbaijan,Belgium,Moldova,Albania,Norway,Norway,Israel,Azerbaijan,Norway,Albania,Norway,Belgium,Azerbaijan,Belgium,,Norway,Norway,Sweden,Belgium,Azerbaijan,Azerbaijan,Norway,Belgium,Germany,Israel,Albania,Israel,Belgium,Israel,Belgium,Azerbaijan,Belgium,Belgium
San Marino,Netherlands,Germany,Norway,,Azerbaijan,Albania,,Belgium,San Marino,,,Belgium,San Marino,,San Marino,,Azerbaijan,,Albania,,Belgium,Albania,Cyprus,Azerbaijan,Albania,,Belgium,Netherlands,,Belgium,,Azerbaijan,,,,Albania,Azerbaijan,San Marino
,,,Belgium,,Netherlands,,,,,,,San Marino,Netherlands,,,,,,San Marino,,,San Marino,Azerbaijan,Albania,,,San Marino,,,Azerbaijan,,,,,,,,Spain
,,,San Marino,,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,